N-be75eec_150       3422308
N-be75np_150       7044246
N-be75oi_150       2212618
N-be75tot_150       11989949
N-stabu1_150       2815434
N-stabu2_150       4224250
N-stabu3_150       4432284
N-t59b11xx_150       3173655
N-t59d11xx_150       1434708
N-t59f11xx_150       1518942
N-t59n11xx_150       315761
N-t65b11xx_150       6298106
N-t65d11xx_150       3449880
N-t65f11xx_150       3094701
N-t65l11xx_150       249865
N-t65n11xx_150       539303
N-t69r11xx_150       11597668
N-t70b11xx_150       9420264
N-t70d11xn_150       5651154
N-t70d11xx_150       6019988
N-t70f11xx_150       5053851
N-t70l11xx_150       424035
N-t70n11xx_150       923600
N-t74d11xx_150       9178343
N-t75d11xx_150       9431092
N-t75e11xx_150       40530365
N-t75k11xx_150       1505459
N-t75n11xx_150       1703052
N-tiw56n54_150       821525
N-tiw56n58_150       1138679
N-tiw56n62_150       1589283
N-tiw56n66_150       2058584
N-tiw56n67_150       2322902
N-tiw56n72_150       4057011
N-tiw56r54_150       938112
N-tiw56r58_150       1185238
N-tiw56r66_150       1886229
N-tiw56r67_150       2021961
N-tiw56r72_150       2725285
N-be75eec_250       8661395
N-be75np_250       17438981
N-be75oi_250       5748063
N-be75tot_250       30318649
N-stabu1_250       7565869
N-stabu2_250       11282792
N-stabu3_250       11614266
N-t59b11xx_250       8146530
N-t59d11xx_250       3782677
N-t59f11xx_250       3886358
N-t59n11xx_250       803197
N-t65b11xx_250       16880766
N-t65d11xx_250       9105394
N-t65f11xx_250       8196647
N-t65l11xx_250       651004
N-t65n11xx_250       1388620
N-t69r11xx_250       30985808
N-t70b11xx_250       24902582
N-t70d11xn_250       14903631
N-t70d11xx_250       15576665
N-t70f11xx_250       13235429
N-t70l11xx_250       1081829
N-t70n11xx_250       2379500
N-t74d11xx_250       23934297
N-t75d11xx_250       24461041
N-t75e11xx_250       103649949
N-t75k11xx_250       3981840
N-t75n11xx_250       4413313
N-tiw56n54_250       2054279
N-tiw56n58_250       2832070
N-tiw56n62_250       4059584
N-tiw56n66_250       5248847
N-tiw56n67_250       6131092
N-tiw56n72_250       10883000
N-tiw56r54_250       2348064
N-tiw56r58_250       2981062
N-tiw56r66_250       4826698
N-tiw56r67_250       5194255
N-tiw56r72_250       7247989
