N-be75eec_150       3419725
N-be75np_150       7081629
N-be75oi_150       2220788
N-be75tot_150       11985319
N-stabu1_150       2822233
N-stabu2_150       4216184
N-stabu3_150       4444044
N-t59b11xx_150       3150390
N-t59d11xx_150       1441418
N-t59f11xx_150       1510729
N-t59n11xx_150       310361
N-t65b11xx_150       6362850
N-t65d11xx_150       3486768
N-t65f11xx_150       3065352
N-t65l11xx_150       249541
N-t65n11xx_150       539234
N-t69r11xx_150       11512655
N-t70b11xx_150       9417118
N-t70d11xn_150       5701307
N-t70d11xx_150       6003124
N-t70f11xx_150       5036506
N-t70l11xx_150       426204
N-t70n11xx_150       928337
N-t74d11xx_150       9197264
N-t75d11xx_150       9495925
N-t75e11xx_150       40693757
N-t75k11xx_150       1518882
N-t75n11xx_150       1693603
N-tiw56n54_150       819496
N-tiw56n58_150       1127455
N-tiw56n62_150       1579869
N-tiw56n66_150       2038816
N-tiw56n67_150       2318736
N-tiw56n72_150       4044529
N-tiw56r54_150       934585
N-tiw56r58_150       1194240
N-tiw56r66_150       1904616
N-tiw56r67_150       2009217
N-tiw56r72_150       2734938
N-be75eec_250       8677333
N-be75np_250       17410507
N-be75oi_250       5780028
N-be75tot_250       30538378
N-stabu1_250       7616361
N-stabu2_250       11244196
N-stabu3_250       11651213
N-t59b11xx_250       8185950
N-t59d11xx_250       3780760
N-t59f11xx_250       3898684
N-t59n11xx_250       806473
N-t65b11xx_250       16830850
N-t65d11xx_250       9128517
N-t65f11xx_250       8195824
N-t65l11xx_250       649974
N-t65n11xx_250       1397436
N-t69r11xx_250       31130146
N-t70b11xx_250       24860725
N-t70d11xn_250       14840398
N-t70d11xx_250       15722085
N-t70f11xx_250       13227183
N-t70l11xx_250       1081537
N-t70n11xx_250       2370197
N-t74d11xx_250       23931491
N-t75d11xx_250       24623343
N-t75e11xx_250       104761152
N-t75k11xx_250       4012456
N-t75n11xx_250       4404469
N-tiw56n54_250       2045536
N-tiw56n58_250       2836621
N-tiw56n62_250       4069896
N-tiw56n66_250       5278275
N-tiw56n67_250       6197279
N-tiw56n72_250       10875693
N-tiw56r54_250       2342127
N-tiw56r58_250       2991182
N-tiw56r66_250       4852457
N-tiw56r67_250       5170134
N-tiw56r72_250       7276115
