N-be75eec_150       2131491
N-be75np_150       4809500
N-be75oi_150       1494458
N-be75tot_150       7879066
N-stabu1_150       1827538
N-stabu2_150       2776745
N-stabu3_150       2707420
N-t59b11xx_150       2180880
N-t59d11xx_150       944878
N-t59f11xx_150       1021697
N-t59n11xx_150       204106
N-t65b11xx_150       4321260
N-t65d11xx_150       2385962
N-t65f11xx_150       2165682
N-t65l11xx_150       134499
N-t65n11xx_150       342935
N-t69r11xx_150       7678582
N-t70b11xx_150       6105736
N-t70d11xn_150       3608392
N-t70d11xx_150       4283429
N-t70f11xx_150       3241715
N-t70l11xx_150       271234
N-t70n11xx_150       601615
N-t74d11xx_150       6301767
N-t75d11xx_150       6116061
N-t75e11xx_150       26841183
N-t75k11xx_150       996451
N-t75n11xx_150       1081423
N-tiw56n54_150       581970
N-tiw56n58_150       725403
N-tiw56n62_150       1066221
N-tiw56n66_150       1346395
N-tiw56n67_150       1597567
N-tiw56n72_150       2511906
N-tiw56r54_150       629595
N-tiw56r58_150       806469
N-tiw56r66_150       1250968
N-tiw56r67_150       1302211
N-tiw56r72_150       1854986
N-be75eec_250       5668583
N-be75np_250       11908894
N-be75oi_250       2961478
N-be75tot_250       20410636
N-stabu1_250       4946786
N-stabu2_250       8062091
N-stabu3_250       7552108
N-t59b11xx_250       5595430
N-t59d11xx_250       2680831
N-t59f11xx_250       2818775
N-t59n11xx_250       559441
N-t65b11xx_250       11014234
N-t65d11xx_250       6358993
N-t65f11xx_250       5811019
N-t65l11xx_250       398288
N-t65n11xx_250       954437
N-t69r11xx_250       21302179
N-t70b11xx_250       16973729
N-t70d11xn_250       10652133
N-t70d11xx_250       11072864
N-t70f11xx_250       9498122
N-t70l11xx_250       673879
N-t70n11xx_250       1659219
N-t74d11xx_250       16875140
N-t75d11xx_250       17653655
N-t75e11xx_250       74000568
N-t75k11xx_250       2838288
N-t75n11xx_250       2992907
N-tiw56n54_250       1456478
N-tiw56n58_250       2007959
N-tiw56n62_250       2796859
N-tiw56n66_250       3659951
N-tiw56n67_250       4266464
N-tiw56n72_250       7458982
N-tiw56r54_250       1645440
N-tiw56r58_250       2181605
N-tiw56r66_250       3360563
N-tiw56r67_250       3469771
N-tiw56r72_250       5184394
