N-be75eec_150       3433353
N-be75np_150       6997512
N-be75oi_150       2211769
N-be75tot_150       11952098
N-stabu1_150       2834001
N-stabu2_150       4283624
N-stabu3_150       4426914
N-t59b11xx_150       3169835
N-t59d11xx_150       1436521
N-t59f11xx_150       1513988
N-t59n11xx_150       311844
N-t65b11xx_150       6375252
N-t65d11xx_150       3479564
N-t65f11xx_150       3083198
N-t65l11xx_150       250182
N-t65n11xx_150       539333
N-t69r11xx_150       11518559
N-t70b11xx_150       9464642
N-t70d11xn_150       5701876
N-t70d11xx_150       6041535
N-t70f11xx_150       5011709
N-t70l11xx_150       421956
N-t70n11xx_150       922088
N-t74d11xx_150       9260973
N-t75d11xx_150       9432824
N-t75e11xx_150       40882717
N-t75k11xx_150       1516135
N-t75n11xx_150       1703086
N-tiw56n54_150       821858
N-tiw56n58_150       1134710
N-tiw56n62_150       1586441
N-tiw56n66_150       2064985
N-tiw56n67_150       2318206
N-tiw56n72_150       4058767
N-tiw56r54_150       942427
N-tiw56r58_150       1191466
N-tiw56r66_150       1893449
N-tiw56r67_150       2016645
N-tiw56r72_150       2771676
N-be75eec_250       8724486
N-be75np_250       17512277
N-be75oi_250       5798145
N-be75tot_250       30292362
N-stabu1_250       7576233
N-stabu2_250       11261601
N-stabu3_250       11646588
N-t59b11xx_250       8208775
N-t59d11xx_250       3760765
N-t59f11xx_250       3925062
N-t59n11xx_250       800908
N-t65b11xx_250       16915667
N-t65d11xx_250       9135432
N-t65f11xx_250       8224441
N-t65l11xx_250       652707
N-t65n11xx_250       1396320
N-t69r11xx_250       31145302
N-t70b11xx_250       24831513
N-t70d11xn_250       14871523
N-t70d11xx_250       15722071
N-t70f11xx_250       13337764
N-t70l11xx_250       1079692
N-t70n11xx_250       2401186
N-t74d11xx_250       24007233
N-t75d11xx_250       24534168
N-t75e11xx_250       104323398
N-t75k11xx_250       4003900
N-t75n11xx_250       4441111
N-tiw56n54_250       2051746
N-tiw56n58_250       2861687
N-tiw56n62_250       4036662
N-tiw56n66_250       5257101
N-tiw56n67_250       6207708
N-tiw56n72_250       10978021
N-tiw56r54_250       2342777
N-tiw56r58_250       3009395
N-tiw56r66_250       4828726
N-tiw56r67_250       5215440
N-tiw56r72_250       7325910
