N-be75eec_150       3397580
N-be75np_150       7023119
N-be75oi_150       2203042
N-be75tot_150       12065620
N-stabu1_150       2820633
N-stabu2_150       4261814
N-stabu3_150       4446969
N-t59b11xx_150       3162295
N-t59d11xx_150       1433334
N-t59f11xx_150       1508660
N-t59n11xx_150       313128
N-t65b11xx_150       6305282
N-t65d11xx_150       3486682
N-t65f11xx_150       3100816
N-t65l11xx_150       247565
N-t65n11xx_150       535219
N-t69r11xx_150       11581026
N-t70b11xx_150       9410539
N-t70d11xn_150       5703333
N-t70d11xx_150       6059955
N-t70f11xx_150       5021998
N-t70l11xx_150       423660
N-t70n11xx_150       928641
N-t74d11xx_150       9239801
N-t75d11xx_150       9432190
N-t75e11xx_150       40830226
N-t75k11xx_150       1509728
N-t75n11xx_150       1715774
N-tiw56n54_150       824517
N-tiw56n58_150       1135260
N-tiw56n62_150       1588669
N-tiw56n66_150       2062224
N-tiw56n67_150       2331146
N-tiw56n72_150       4034349
N-tiw56r54_150       939752
N-tiw56r58_150       1185982
N-tiw56r66_150       1883061
N-tiw56r67_150       2029366
N-tiw56r72_150       2767125
N-be75eec_250       8699506
N-be75np_250       17365378
N-be75oi_250       5824838
N-be75tot_250       30369063
N-stabu1_250       7589198
N-stabu2_250       11265493
N-stabu3_250       11635952
N-t59b11xx_250       8207740
N-t59d11xx_250       3772692
N-t59f11xx_250       3897992
N-t59n11xx_250       805712
N-t65b11xx_250       16865816
N-t65d11xx_250       9170838
N-t65f11xx_250       8234325
N-t65l11xx_250       652890
N-t65n11xx_250       1398673
N-t69r11xx_250       31325060
N-t70b11xx_250       24715495
N-t70d11xn_250       14912528
N-t70d11xx_250       15656478
N-t70f11xx_250       13233783
N-t70l11xx_250       1090416
N-t70n11xx_250       2369202
N-t74d11xx_250       23849038
N-t75d11xx_250       24493020
N-t75e11xx_250       103683783
N-t75k11xx_250       3989397
N-t75n11xx_250       4415245
N-tiw56n54_250       2051861
N-tiw56n58_250       2835457
N-tiw56n62_250       4057723
N-tiw56n66_250       5236578
N-tiw56n67_250       6152622
N-tiw56n72_250       10928703
N-tiw56r54_250       2345031
N-tiw56r58_250       3001905
N-tiw56r66_250       4823785
N-tiw56r67_250       5180256
N-tiw56r72_250       7293405
