N-be75eec_150       2791789
N-be75np_150       5674004
N-be75oi_150       1910448
N-be75tot_150       9605294
N-stabu1_150       2321695
N-stabu2_150       3520854
N-stabu3_150       3647263
N-t59b11xx_150       2503785
N-t59d11xx_150       1160277
N-t59f11xx_150       1215566
N-t59n11xx_150       247734
N-t65b11xx_150       5269515
N-t65d11xx_150       2880856
N-t65f11xx_150       2503246
N-t65l11xx_150       209910
N-t65n11xx_150       424213
N-t69r11xx_150       8789899
N-t70b11xx_150       7739769
N-t70d11xn_150       4698008
N-t70d11xx_150       4978394
N-t70f11xx_150       4089072
N-t70l11xx_150       340538
N-t70n11xx_150       724885
N-t74d11xx_150       7609206
N-t75d11xx_150       7789504
N-t75e11xx_150       32880307
N-t75k11xx_150       1218870
N-t75n11xx_150       1330987
N-tiw56n54_150       688060
N-tiw56n58_150       928115
N-tiw56n62_150       1319361
N-tiw56n66_150       1697073
N-tiw56n67_150       1957421
N-tiw56n72_150       3406309
N-tiw56r54_150       777277
N-tiw56r58_150       984361
N-tiw56r66_150       1571383
N-tiw56r67_150       1675898
N-tiw56r72_150       2264071
N-be75eec_250       7112369
N-be75np_250       14546483
N-be75oi_250       4874993
N-be75tot_250       25241623
N-stabu1_250       6431116
N-stabu2_250       9440197
N-stabu3_250       9622214
N-t59b11xx_250       6730745
N-t59d11xx_250       3150114
N-t59f11xx_250       3217600
N-t59n11xx_250       654891
N-t65b11xx_250       14276221
N-t65d11xx_250       7696124
N-t65f11xx_250       6790423
N-t65l11xx_250       541550
N-t65n11xx_250       1142838
N-t69r11xx_250       25031531
N-t70b11xx_250       20830150
N-t70d11xn_250       12495909
N-t70d11xx_250       13084902
N-t70f11xx_250       11115805
N-t70l11xx_250       850399
N-t70n11xx_250       1942073
N-t74d11xx_250       19960371
N-t75d11xx_250       20494682
N-t75e11xx_250       84195824
N-t75k11xx_250       3314218
N-t75n11xx_250       3623615
N-tiw56n54_250       1733576
N-tiw56n58_250       2401194
N-tiw56n62_250       3414826
N-tiw56n66_250       4387904
N-tiw56n67_250       5252193
N-tiw56n72_250       9213963
N-tiw56r54_250       1961319
N-tiw56r58_250       2510954
N-tiw56r66_250       4069395
N-tiw56r67_250       4385713
N-tiw56r72_250       6077068
