N-be75eec_150   	3482828
N-be75np_150	        7174325
N-be75oi_150	        2246534
N-be75tot_150	        12287707
N-stabu1_150	        2875732
N-stabu2_150	        4327538
N-stabu3_150	        4510445
N-t59b11xx_150	        3239550
N-t59d11xx_150	        1462697
N-t59f11xx_150	        1543733
N-t59n11xx_150	        318960
N-t65b11xx_150	        6453836
N-t65d11xx_150	        3559347
N-t65f11xx_150	        3159326
N-t65l11xx_150	        253396
N-t65n11xx_150	        550733
N-t69r11xx_150	        11855957
N-t70b11xx_150	        9647229
N-t70d11xn_150	        5825147
N-t70d11xx_150	        6174178
N-t70f11xx_150	        5150097
N-t70l11xx_150	        436862
N-t70n11xx_150	        948913
N-t74d11xx_150	        9396044
N-t75d11xx_150	        9642140
N-t75e11xx_150	        41570193
N-t75k11xx_150	        1541596
N-t75n11xx_150	        1743094
N-tiw56n54_150	        837945
N-tiw56n58_150	        1155392
N-tiw56n62_150	        1626921
N-tiw56n66_150	        2107619
N-tiw56n67_150	        2372926
N-tiw56n72_150	        4135907
N-tiw56r54_150	        958192
N-tiw56r58_150	        1219295
N-tiw56r66_150	        1940755
N-tiw56r67_150	        2056347
N-tiw56r72_150	        2823758
