N-be75eec_150       2147692
N-be75np_150       4807943
N-be75oi_150       1494457
N-be75tot_150       7876149
N-stabu1_150       1848771
N-stabu2_150       2736232
N-stabu3_150       2702942
N-t59b11xx_150       2187470
N-t59d11xx_150       947513
N-t59f11xx_150       1025202
N-t59n11xx_150       202548
N-t65b11xx_150       4336920
N-t65d11xx_150       2398550
N-t65f11xx_150       2144084
N-t65l11xx_150       134677
N-t65n11xx_150       346166
N-t69r11xx_150       7609678
N-t70b11xx_150       6161413
N-t70d11xn_150       3608272
N-t70d11xx_150       4258714
N-t70f11xx_150       3248829
N-t70l11xx_150       271234
N-t70n11xx_150       600050
N-t74d11xx_150       6323926
N-t75d11xx_150       6173644
N-t75e11xx_150       26969136
N-t75k11xx_150       1006298
N-t75n11xx_150       1081998
N-tiw56n54_150       581762
N-tiw56n58_150       742237
N-tiw56n62_150       1061844
N-tiw56n66_150       1366138
N-tiw56n67_150       1604879
N-tiw56n72_150       2505125
N-tiw56r54_150       638138
N-tiw56r58_150       820512
N-tiw56r66_150       1252356
N-tiw56r67_150       1311015
N-tiw56r72_150       1829372
N-be75eec_250       5665677
N-be75np_250       11849453
N-be75oi_250       2998148
N-be75tot_250       20495488
N-stabu1_250       4916437
N-stabu2_250       8105175
N-stabu3_250       7592894
N-t59b11xx_250       5598585
N-t59d11xx_250       2689453
N-t59f11xx_250       2823847
N-t59n11xx_250       559932
N-t65b11xx_250       11137635
N-t65d11xx_250       6318920
N-t65f11xx_250       5811186
N-t65l11xx_250       398860
N-t65n11xx_250       956733
N-t69r11xx_250       21299633
N-t70b11xx_250       17011333
N-t70d11xn_250       10695095
N-t70d11xx_250       11066730
N-t70f11xx_250       9507997
N-t70l11xx_250       673716
N-t70n11xx_250       1670188
N-t74d11xx_250       16907922
N-t75d11xx_250       17673167
N-t75e11xx_250       74330823
N-t75k11xx_250       2844344
N-t75n11xx_250       2995208
N-tiw56n54_250       1449501
N-tiw56n58_250       2012263
N-tiw56n62_250       2806577
N-tiw56n66_250       3678745
N-tiw56n67_250       4260186
N-tiw56n72_250       7461125
N-tiw56r54_250       1646792
N-tiw56r58_250       2191867
N-tiw56r66_250       3374765
N-tiw56r67_250       3469693
N-tiw56r72_250       5195365
