N-be75eec_150       3426835
N-be75np_150       6996805
N-be75oi_150       2208956
N-be75tot_150       11986875
N-stabu1_150       2809583
N-stabu2_150       4235727
N-stabu3_150       4437888
N-t59b11xx_150       3172925
N-t59d11xx_150       1437102
N-t59f11xx_150       1501469
N-t59n11xx_150       312740
N-t65b11xx_150       6339111
N-t65d11xx_150       3463561
N-t65f11xx_150       3104239
N-t65l11xx_150       250076
N-t65n11xx_150       536956
N-t69r11xx_150       11607362
N-t70b11xx_150       9454903
N-t70d11xn_150       5708388
N-t70d11xx_150       6016108
N-t70f11xx_150       4980478
N-t70l11xx_150       424115
N-t70n11xx_150       922535
N-t74d11xx_150       9107014
N-t75d11xx_150       9466781
N-t75e11xx_150       40798531
N-t75k11xx_150       1496227
N-t75n11xx_150       1689181
N-tiw56n54_150       822835
N-tiw56n58_150       1127077
N-tiw56n62_150       1579578
N-tiw56n66_150       2059057
N-tiw56n67_150       2320476
N-tiw56n72_150       4005616
N-tiw56r54_150       940469
N-tiw56r58_150       1192868
N-tiw56r66_150       1883265
N-tiw56r67_150       2017946
N-tiw56r72_150       2728401
N-be75eec_250       8705661
N-be75np_250       17327285
N-be75oi_250       5793795
N-be75tot_250       30475785
N-stabu1_250       7562850
N-stabu2_250       11327703
N-stabu3_250       11619236
N-t59b11xx_250       8210030
N-t59d11xx_250       3763591
N-t59f11xx_250       3900232
N-t59n11xx_250       802419
N-t65b11xx_250       16876071
N-t65d11xx_250       9088980
N-t65f11xx_250       8210380
N-t65l11xx_250       648192
N-t65n11xx_250       1397080
N-t69r11xx_250       31168411
N-t70b11xx_250       24754532
N-t70d11xn_250       14876135
N-t70d11xx_250       15676177
N-t70f11xx_250       13231846
N-t70l11xx_250       1091120
N-t70n11xx_250       2370197
N-t74d11xx_250       23931491
N-t75d11xx_250       24623343
N-t75e11xx_250       104761152
N-t75k11xx_250       4012456
N-t75n11xx_250       4404469
N-tiw56n54_250       2045536
N-tiw56n58_250       2836621
N-tiw56n62_250       4069896
N-tiw56n66_250       5278275
N-tiw56n67_250       6197279
N-tiw56n72_250       10875693
N-tiw56r54_250       2342127
N-tiw56r58_250       2991182
N-tiw56r66_250       4852457
N-tiw56r67_250       5170134
N-tiw56r72_250       7276115
